emplacement,address,fast_charger,slow_charger,Support_car_type,latitude,longitude
풍호동행정복지센터,경상남도 창원시 진해구 풍호동 176-6,1,0,"SM3 Z.E,테슬라",35.13752013,128.7073377
거여5단지 아파트,서울특별시 송파구 거여동 양산로4길 16,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.48920968,127.1449643
무실세영리첼2차 아파트,강원도 원주시 무실동 1868-1,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.32840092,127.9309201
연향도서관,전라남도 순천시 연향동 1379-1,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",34.94695776,127.5185176
천안시 중앙시장 북측주차장,충청남도 천안시 동남구 오룡동 189-1,1,0,"SM3 Z.E,테슬라",36.80432026,127.1493764
동산마을 공영주차장,서울특별시 서초구 양재동 370-5,1,0,"SM3 Z.E,테슬라",37.47008972,127.0443086
동백공영주차장,전라남도 여수시 수정동 280,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",34.74191763,127.7516291
불당마을동일하이빌 아파트,충청남도 천안시 서북구 불당동 750,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.80816923,127.113103
원주시립도서관,강원도 원주시 단구동 990,1,0,"SM3 Z.E,테슬라",37.32615159,127.9528814
고려대학교,서울특별시 성북구 안암동5가 1-2 (고려대학교안암캠퍼스),2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.58874965,127.0323736
해피드림3차,충청남도 천안시 서북구 두정동 1417,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.83031386,127.1436133
송파구청,서울특별시 송파구 신천동 29-5 송파구청 앞,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.5146107,127.1060852
홈플러스 순천풍덕점,전라남도 순천시 풍덕동 300,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",34.94005854,127.5090185
서귀포혁신LH2단지,제주특별자치도 서귀포시 서호동 서호남로 92-16,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",33.24876545,126.520939
푸른숨LH3단지 아파트,강원도 원주시 반곡동 2047-4,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.32120386,127.9777747
청라상록힐스테이트10블럭,인천광역시 서구 경서동 953-17,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.5569106,126.6652385
여수공항,전라남도 여수시 율촌면 신풍리 979,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",34.84182144,127.6127939
청송지사,경상북도 청송군 청송읍 월막리 426-1,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.43604143,129.0528375
용암덕일마이빌 아파트,충청북도 청주시 상당구 용암동 중흥로 148,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.61600877,127.5118701
구즉동 행정복지센터,대전광역시 유성구 봉산동 294,1,0,"SM3 Z.E,테슬라",36.44048792,127.3837086
방배동부센트레빌 아파트,서울특별시 서초구 방배동 3275,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.4976245,126.9880555
목감네이처하임아파트,경기도 시흥시 조남동 720,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.38005717,126.8646836
율촌도서관 공영주차장,전라남도 여수시 율촌면 조화리 65-1,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",34.88390378,127.5786454
